Timestamp,SrcIp,DestIp,L4Protocol,totalFlow
"2023-09-14T01:24:00Z","185.224.128.17","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","194.26.135.132","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","198.235.24.212","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","167.248.133.136","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","180.116.125.159","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","162.243.134.57","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","162.216.149.134","10.0.0.6",TCP,2
"2023-09-14T01:24:00Z","79.110.62.163","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","205.210.31.22","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","138.246.253.24","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","198.235.24.168","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","198.235.24.48","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","110.183.30.145","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","198.199.119.64","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","170.106.174.246","10.0.0.4",TCP,2
"2023-09-14T01:24:00Z","43.157.65.152","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","162.216.149.250","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","89.248.165.100","10.0.0.4",TCP,2
"2023-09-14T01:24:00Z","84.54.51.4","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","79.124.58.130","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","71.6.135.131","10.0.0.4",UDP,1
"2023-09-14T01:24:00Z","35.203.211.19","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","175.201.130.190","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","65.49.20.119","10.0.0.6",UDP,1
"2023-09-14T01:24:00Z","97.107.141.150","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","84.54.51.121","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","65.49.20.72","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","89.190.156.176","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","45.155.91.23","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","43.157.65.152","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","198.235.24.161","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","45.155.91.23","10.0.0.6",TCP,1
